datetime,mean
6/13/90,-0.001030233
6/14/90,-0.000984513
6/15/90,-0.000981465
6/16/90,-0.000637038
6/17/90,-0.000655326
6/18/90,-0.000780295
6/19/90,-0.000856496
6/20/90,-0.000746767
6/21/90,-0.000826016
6/22/90,-0.000920504
6/23/90,-0.000682758
6/24/90,-0.000466348
6/25/90,-0.000310899
6/26/90,-0.000545597
6/27/90,-0.000323091
6/28/90,-0.000350523
6/29/90,-0.00061875
6/30/90,-0.000615702
7/1/90,-0.000323091
7/2/90,-0.000758959
7/3/90,-0.000819919
7/4/90,-0.001536206
7/5/90,-0.001673367
7/6/90,-0.001356372
7/7/90,-0.00126798
7/8/90,-0.001453909
7/9/90,-0.001200923
7/10/90,-0.001447813
7/11/90,-0.00111253
7/12/90,-0.001432573
7/13/90,-0.001539254
7/14/90,-0.001557542
7/15/90,-0.001639839
7/16/90,-0.001719088
7/17/90,-0.001706896
7/18/90,-0.00129846
7/19/90,-0.00151487
7/20/90,-0.001633743
7/21/90,-0.001679463
7/22/90,-0.001847105
7/23/90,-0.001642887
7/24/90,-0.001981218
7/25/90,-0.002124475
7/26/90,-0.002118379
7/27/90,-0.002270781
7/28/90,-0.002069611
7/29/90,-0.001981218
7/30/90,-0.001883681
7/31/90,-0.001786144
8/1/90,-0.001734328
8/2/90,-0.001780048
8/3/90,-0.001795288
8/4/90,-0.001770904
8/5/90,-0.001618503
8/6/90,-0.001834913
8/7/90,-0.002307357
8/8/90,-0.001862345
8/9/90,-0.001804432
8/10/90,-0.001783096
8/11/90,-0.001712992
8/12/90,-0.001834913
8/13/90,-0.001594119
8/14/90,-0.001670319
8/15/90,-0.001810528
8/16/90,-0.002154956
8/17/90,-0.001895873
8/18/90,-0.00194769
8/19/90,-0.002151908
8/20/90,-0.002014746
8/21/90,-0.002218964
8/22/90,-0.00196293
8/23/90,-0.001895873
8/24/90,-0.001965978
8/25/90,-0.002374414
8/26/90,-0.002298213
8/27/90,-0.002197628
8/28/90,-0.001722136
8/29/90,-0.001697751
8/30/90,-0.001426477
8/31/90,-0.001630695
9/1/90,-0.001834913
9/2/90,-0.001557542
9/3/90,-0.001469149
9/4/90,-0.001453909
9/5/90,-0.00148439
9/6/90,-0.001274076
9/7/90,-0.001060714
9/8/90,-0.0013137
9/9/90,-0.001371612
9/10/90,-0.000838208
9/11/90,-0.001106434
9/12/90,-0.001341132
9/13/90,-0.001060714
9/14/90,-0.001130818
9/15/90,-0.001423429
9/16/90,-0.001194827
9/17/90,-0.001402093
9/18/90,-0.001874537
9/19/90,-0.001341132
9/20/90,-0.001325892
9/21/90,-0.001167395
9/22/90,-0.001347228
9/23/90,-0.000938793
