time,CHD_L01,CHD_L06,CHD_L11,CHD_L13
0.00,0.0000,6.7666,6.7666,5.5474
365.25,-0.1932,6.1570,6.1570,4.9378
730.50,-0.3864,5.6693,5.6693,4.4501
1095.75,-0.5795,5.1816,5.1816,3.9624
1461.00,-0.7727,4.6940,4.6940,3.4748
1826.25,-0.9659,4.2063,4.2063,2.9871
2191.50,-1.1591,3.7186,3.7186,2.4994
2556.75,-1.3522,2.9871,2.9871,1.7679
2922.00,-1.5454,2.2555,2.2555,1.0363
3287.25,-1.7386,1.5240,1.5240,0.3048
3652.50,-1.9318,0.7925,0.7925,-0.4267
4017.75,-2.1250,0.0610,0.0610,-1.1583
4383.00,-2.3181,-0.1128,-0.1128,-1.3320
4748.25,-2.5113,-0.2469,-0.2469,-1.4661
5113.50,-2.7045,-0.1768,-0.1768,-1.3960
5478.75,-2.8977,-0.2865,-0.2865,-1.5057
5844.00,-3.0908,-0.2865,-0.2865,-1.5057
6209.25,-3.2840,-0.3048,-0.3048,-1.5240
6574.50,-3.4772,-0.3962,-0.3962,-1.6155
6939.75,-3.6704,-0.4267,-0.4267,-1.6459
7305.00,-3.8636,-0.4877,-0.4877,-1.7069
7670.25,-4.0567,-0.5182,-0.5182,-1.7374
8035.50,-4.2499,-0.6096,-0.6096,-1.8288
8400.75,-4.4431,-0.7315,-0.7315,-1.9507
8766.00,-4.6363,-0.7010,-0.7010,-1.9203
9131.25,-4.8294,-0.8230,-0.8230,-2.0422
9496.50,-5.0226,-0.9144,-0.9144,-2.1336
9861.75,-5.2158,-0.9449,-0.9449,-2.1641
10227.00,-5.4090,-1.0211,-1.0211,-2.2403
10592.25,-5.6022,-1.6155,-1.6155,-2.8347
10957.50,-5.7953,-1.7679,-1.7679,-2.9871
11322.75,-5.9885,-2.3775,-2.3775,-3.5967
11688.00,-6.1817,-2.5908,-2.5908,-3.8100
12053.25,-6.3749,-2.7737,-2.7737,-3.9929
12418.50,-6.5680,-3.2004,-3.2004,-4.4196
12783.75,-6.7612,-3.5052,-3.5052,-4.7244
13149.00,-6.9544,-3.6272,-3.6272,-4.8464
13514.25,-7.1476,-4.1758,-4.1758,-5.3950
13879.50,-7.3408,-4.3282,-4.3282,-5.5474
14244.75,-7.5339,-4.8159,-4.8159,-6.0351
14610.00,-7.7271,-5.2731,-5.2731,-6.4923
14975.25,-7.9203,-5.6084,-5.6084,-6.8276
15340.50,-8.1135,-6.1875,-6.1875,-7.4067
15705.75,-8.3066,-6.7666,-6.7666,-7.9858
16071.00,-8.4998,-7.6201,-7.6201,-8.8393
16436.25,-8.6930,-9.4489,-9.4489,-10.6681
16801.50,-8.8862,-11.2777,-11.2777,-12.4969
17166.75,-9.0794,-13.1065,-13.1065,-14.3257
17532.00,-9.2725,-14.9353,-14.9353,-16.1545
17897.25,-9.4657,-16.7642,-16.7642,-17.9834
18262.50,-9.6589,-15.5449,-15.5449,-16.7642
18627.75,-9.8521,-14.6305,-14.6305,-15.8497
18993.00,-10.0453,-16.1424,-16.1424,-17.3616
19358.25,-10.2384,-14.3775,-14.3775,-15.5968
19723.50,-10.4316,-16.1789,-16.1789,-17.3981
20088.75,-10.6248,-18.4619,-18.4619,-19.6811
20454.00,-10.8180,-18.7454,-18.7454,-19.9646
20819.25,-11.0111,-20.3944,-20.3944,-21.6136
21184.50,-11.2043,-20.8759,-20.8759,-22.0952
21549.75,-11.3975,-22.8754,-22.8754,-24.0947
21915.00,-11.5907,-23.7015,-23.7015,-24.9207
22280.25,-11.7839,-26.2527,-26.2527,-27.4719
22645.50,-11.9770,-28.8039,-28.8039,-30.0231
23010.75,-12.1702,-31.3642,-31.3642,-32.5834
23376.00,-12.3634,-33.9245,-33.9245,-35.1438
23741.25,-12.5566,-36.4849,-36.4849,-37.7041
24106.50,-12.7497,-39.0148,-39.0148,-40.2340
24471.75,-12.9429,-41.6056,-41.6056,-42.8248
24837.00,-13.1361,-42.7913,-42.7913,-44.0105
25202.25,-13.3293,-42.7273,-42.7273,-43.9465
25567.50,-13.5225,-42.7455,-42.7455,-43.9648
25932.75,-13.7156,-42.8949,-42.8949,-44.1141
26298.00,-13.9088,-43.0412,-43.0412,-44.2604
26663.25,-14.1020,-43.1906,-43.1906,-44.4098
27028.50,-14.2952,-43.3399,-43.3399,-44.5591
27393.75,-14.4883,-43.3948,-43.3948,-44.6140
27759.00,-14.6815,-43.5319,-43.5319,-44.7511
28124.25,-14.8747,-43.5197,-43.5197,-44.7390
28489.50,-15.0679,-43.5929,-43.5929,-44.8121
28854.75,-15.2611,-43.5868,-43.5868,-44.8060
29220.00,-15.4542,-44.2360,-44.2360,-45.4552
29585.25,-15.6474,-43.7057,-43.7057,-44.9249
29950.50,-15.8406,-44.3275,-44.3275,-44.9188
29951.50,-15.8436,-44.3366,-44.3366,-44.9130
29952.50,-15.8464,-44.3470,-44.3470,-44.9093
29953.50,-15.8491,-44.3576,-44.3576,-44.9075
29954.50,-15.8513,-44.3680,-44.3680,-44.9075
