extwc            finf              pet              rootdepth       
0.1001999974E+00 0.0008           0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
0.1001999974E+00 0.9999999975E-06 0.3749999905E-05 0.2500000000E+01 
